Data ,Label
0.035873,Notstressed
0.071746,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.075589,Notstressed
0.075589,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.075589,Notstressed
0.075589,Notstressed
0.075589,Notstressed
0.075589,Notstressed
0.074308,Notstressed
0.075589,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.075589,Notstressed
0.074308,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.075589,Notstressed
0.076871,Notstressed
0.075589,Notstressed
0.078152,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.075589,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.074308,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.076871,Notstressed
0.075589,Notstressed
0.074308,Notstressed
0.075589,Notstressed
0.075589,Notstressed
0.075589,Notstressed
0.075589,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.075589,Notstressed
0.075589,Notstressed
0.078152,Notstressed
0.074308,Notstressed
0.073027,Notstressed
0.074308,Notstressed
0.075589,Notstressed
0.075589,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.075589,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.073027,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.074308,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.066621,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.074308,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.069184,Notstressed
0.069184,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.069184,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.069184,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.069184,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.067902,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.069184,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.069184,Notstressed
0.069184,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.069184,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.069184,Notstressed
0.070465,Notstressed
0.069184,Notstressed
0.069184,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.069184,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.069184,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.069184,Notstressed
0.069184,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.069184,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.067902,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.073027,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.071746,Notstressed
0.074308,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.073027,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.071746,Notstressed
0.070465,Notstressed
0.070465,Notstressed
0.071746,Notstressed
0.071746,Notstressed
