Data,Label
1,Notstressed
60,Notstressed
62,Notstressed
62.33,Notstressed
62.75,Notstressed
63.8,Notstressed
65,Notstressed
66.71,Notstressed
68.5,Notstressed
69.89,Notstressed
70.9,Notstressed
71.64,Notstressed
72.17,Notstressed
72.46,Notstressed
72.64,Notstressed
72.73,Notstressed
72.69,Notstressed
72.65,Notstressed
72.56,Notstressed
72.47,Notstressed
72.4,Notstressed
72.33,Notstressed
72.27,Notstressed
72.22,Notstressed
72.17,Notstressed
72.12,Notstressed
72.12,Notstressed
72.07,Notstressed
72.04,Notstressed
72.03,Notstressed
72.03,Notstressed
72.06,Notstressed
72.12,Notstressed
72.21,Notstressed
72.29,Notstressed
72.4,Notstressed
72.5,Notstressed
72.62,Notstressed
72.76,Notstressed
72.92,Notstressed
73.07,Notstressed
73.24,Notstressed
73.4,Notstressed
73.56,Notstressed
73.7,Notstressed
73.82,Notstressed
73.93,Notstressed
74.04,Notstressed
74.12,Notstressed
74.16,Notstressed
74.18,Notstressed
74.2,Notstressed
74.19,Notstressed
74.19,Notstressed
74.17,Notstressed
74.15,Notstressed
74.12,Notstressed
74.12,Notstressed
74.14,Notstressed
74.15,Notstressed
74.18,Notstressed
74.45,Notstressed
74.65,Notstressed
74.87,Notstressed
75.07,Notstressed
75.18,Notstressed
75.23,Notstressed
75.15,Notstressed
75,Notstressed
74.83,Notstressed
74.67,Notstressed
74.5,Notstressed
74.35,Notstressed
74.23,Notstressed
74.13,Notstressed
74.07,Notstressed
74.03,Notstressed
74,Notstressed
73.98,Notstressed
73.97,Notstressed
73.95,Notstressed
73.93,Notstressed
73.93,Notstressed
73.95,Notstressed
73.97,Notstressed
74,Notstressed
74.02,Notstressed
74.07,Notstressed
74.12,Notstressed
74.17,Notstressed
74.22,Notstressed
74.23,Notstressed
74.23,Notstressed
74.2,Notstressed
74.17,Notstressed
74.1,Notstressed
74.03,Notstressed
73.95,Notstressed
73.83,Notstressed
73.7,Notstressed
73.57,Notstressed
73.42,Notstressed
73.27,Notstressed
73.12,Notstressed
72.95,Notstressed
72.82,Notstressed
72.68,Notstressed
72.53,Notstressed
72.42,Notstressed
72.33,Notstressed
72.27,Notstressed
72.2,Notstressed
72.15,Notstressed
72.1,Notstressed
72.07,Notstressed
72.03,Notstressed
72,Notstressed
71.95,Notstressed
71.88,Notstressed
71.82,Notstressed
71.73,Notstressed
71.65,Notstressed
71.57,Notstressed
71.47,Notstressed
71.37,Notstressed
71.28,Notstressed
71.22,Notstressed
71.17,Notstressed
71.12,Notstressed
71.08,Notstressed
71.07,Notstressed
71.07,Notstressed
71.07,Notstressed
71.07,Notstressed
71.05,Notstressed
71.02,Notstressed
83,Stressed
67.5,Stressed
63.33,Stressed
62,Stressed
62.8,Stressed
62.33,Stressed
62.29,Stressed
62.25,Stressed
63,Stressed
63.6,Stressed
64.18,Stressed
64.75,Stressed
65.31,Stressed
65.86,Stressed
66.4,Stressed
66.94,Stressed
67.47,Stressed
68.06,Stressed
68.63,Stressed
69.2,Stressed
69.62,Stressed
70.05,Stressed
70.52,Stressed
71.04,Stressed
71.36,Stressed
71.69,Stressed
72,Stressed
72.32,Stressed
72.59,Stressed
72.83,Stressed
72.9,Stressed
73,Stressed
73,Stressed
73.06,Stressed
73.11,Stressed
73.19,Stressed
73.24,Stressed
73.32,Stressed
73.54,Stressed
73.78,Stressed
74.05,Stressed
74.31,Stressed
74.56,Stressed
74.82,Stressed
74.93,Stressed
75.3,Stressed
75.66,Stressed
76,Stressed
76.33,Stressed
76.64,Stressed
76.96,Stressed
77.25,Stressed
77.51,Stressed
77.74,Stressed
77.96,Stressed
78.18,Stressed
78.4,Stressed
78.62,Stressed
78.85,Stressed
79.07,Stressed
79.23,Stressed
79.9,Stressed
80.5,Stressed
81.03,Stressed
81.43,Stressed
81.95,Stressed
82.45,Stressed
82.97,Stressed
83.38,Stressed
83.82,Stressed
84.22,Stressed
84.58,Stressed
84.93,Stressed
85.25,Stressed
85.53,Stressed
85.78,Stressed
86.02,Stressed
86.22,Stressed
86.4,Stressed
86.53,Stressed
86.7,Stressed
86.85,Stressed
86.98,Stressed
87.1,Stressed
87.28,Stressed
87.45,Stressed
87.62,Stressed
87.77,Stressed
87.9,Stressed
88.02,Stressed
88.23,Stressed
88.43,Stressed
88.65,Stressed
88.83,Stressed
89.03,Stressed
89.25,Stressed
89.5,Stressed
89.72,Stressed
89.87,Stressed
89.98,Stressed
90.08,Stressed
90.2,Stressed
90.32,Stressed
90.4,Stressed
90.57,Stressed
90.53,Stressed
90.48,Stressed
90.4,Stressed
90.3,Stressed
90.18,Stressed
90.03,Stressed
89.9,Stressed
89.78,Stressed
89.7,Stressed
89.65,Stressed
89.6,Stressed
89.57,Stressed
89.55,Stressed
89.52,Stressed
89.53,Stressed
89.55,Stressed
89.57,Stressed
89.6,Stressed
89.62,Stressed
89.62,Stressed
89.6,Stressed
89.55,Stressed
89.47,Stressed
89.33,Stressed
89.17,Stressed
89.02,Stressed
88.88,Stressed
88.73,Stressed
88.58,Stressed
88.43,Stressed
88.3,Stressed
88.17,Stressed
88.02,Stressed
87.85,Stressed
87.7,Stressed
87.57,Stressed
87.47,Stressed
87.37,Stressed
87.25,Stressed
87.15,Stressed
87.1,Stressed
87.07,Stressed
87.03,Stressed
87.02,Stressed
87.02,Stressed
87,Stressed
87,Stressed
87.03,Stressed
87.05,Stressed
87.05,Stressed
87.02,Stressed
86.97,Stressed
86.93,Stressed
86.87,Stressed
86.82,Stressed
86.75,Stressed
86.7,Stressed
86.67,Stressed
86.68,Stressed
86.72,Stressed
86.75,Stressed
86.78,Stressed
86.85,Stressed
86.92,Stressed
87.02,Stressed
87.13,Stressed
87.23,Stressed
87.33,Stressed
87.42,Stressed
87.47,Stressed
87.52,Stressed
87.52,Stressed
87.47,Stressed
