Data,Label
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.81,Notstressed
32.81,Notstressed
32.81,Notstressed
32.81,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.79,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
32.77,Notstressed
