Data,Label
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0.01,Notstressed
0.01,Notstressed
0,Notstressed
-0.03,Notstressed
-0.05,Notstressed
-0.05,Notstressed
0,Notstressed
0.13,Notstressed
0.36,Notstressed
0.66,Notstressed
1.01,Notstressed
1.37,Notstressed
1.72,Notstressed
2.06,Notstressed
2.4,Notstressed
2.79,Notstressed
3.24,Notstressed
3.8,Notstressed
4.42,Notstressed
5.06,Notstressed
5.66,Notstressed
6.2,Notstressed
6.68,Notstressed
7.15,Notstressed
7.68,Notstressed
8.31,Notstressed
9.14,Notstressed
10.09,Notstressed
11.04,Notstressed
11.88,Notstressed
12.56,Notstressed
13.14,Notstressed
13.76,Notstressed
14.65,Notstressed
15.96,Notstressed
17.91,Notstressed
20.32,Notstressed
22.9,Notstressed
25.38,Notstressed
27.58,Notstressed
29.57,Notstressed
31.68,Notstressed
34.32,Notstressed
37.81,Notstressed
42.54,Notstressed
48.15,Notstressed
54.1,Notstressed
59.83,Notstressed
64.97,Notstressed
69.58,Notstressed
74.14,Notstressed
79.34,Notstressed
85.71,Notstressed
93.76,Notstressed
103,Notstressed
112.62,Notstressed
121.73,Notstressed
129.77,Notstressed
136.75,Notstressed
143.3,Notstressed
150.75,Notstressed
157.77,Notstressed
166.64,Notstressed
177.95,Notstressed
191.79,Notstressed
206.97,Notstressed
220.57,Notstressed
228.25,Notstressed
225.36,Notstressed
208.53,Notstressed
176.87,Notstressed
132.76,Notstressed
80.05,Notstressed
23.07,Notstressed
-34.94,Notstressed
-92.44,Notstressed
-149.16,Notstressed
-205.23,Notstressed
-260.37,Notstressed
-313.74,Notstressed
-363.87,Notstressed
-409.83,Notstressed
-450.91,Notstressed
-486.5,Notstressed
-515.74,Notstressed
-537.23,Notstressed
-549.22,Notstressed
-549.96,Notstressed
-538.37,Notstressed
-514.21,Notstressed
-478.67,Notstressed
-433.88,Notstressed
-382.45,Notstressed
-327.02,Notstressed
-269.84,Notstressed
-212.63,Notstressed
-156.66,Notstressed
-102.95,Notstressed
-52.37,Notstressed
-5.9,Notstressed
35.58,Notstressed
71.43,Notstressed
101.35,Notstressed
125.5,Notstressed
144.38,Notstressed
158.7,Notstressed
169.15,Notstressed
176.37,Notstressed
180.74,Notstressed
182.57,Notstressed
182.08,Notstressed
179.53,Notstressed
175.27,Notstressed
169.69,Notstressed
163.17,Notstressed
156.07,Notstressed
148.63,Notstressed
141.02,Notstressed
133.34,Notstressed
125.63,Notstressed
117.95,Notstressed
110.34,Notstressed
102.83,Notstressed
95.46,Notstressed
88.28,Notstressed
81.32,Notstressed
74.64,Notstressed
68.28,Notstressed
62.26,Notstressed
56.6,Notstressed
51.26,Notstressed
46.2,Notstressed
41.38,Notstressed
36.76,Notstressed
32.38,Notstressed
28.29,Notstressed
24.58,Notstressed
21.29,Notstressed
18.41,Notstressed
15.85,Notstressed
13.44,Notstressed
11.06,Notstressed
8.65,Notstressed
6.27,Notstressed
4.1,Notstressed
2.33,Notstressed
1.1,Notstressed
0.37,Notstressed
-0.1,Notstressed
-0.63,Notstressed
-1.51,Notstressed
-2.88,Notstressed
-4.58,Notstressed
-6.25,Notstressed
-7.48,Notstressed
-8.01,Notstressed
-7.87,Notstressed
-7.42,Notstressed
-7.23,Notstressed
-7.78,Notstressed
-9.24,Notstressed
-11.37,Notstressed
-13.58,Notstressed
-15.24,Notstressed
-15.96,Notstressed
-15.76,Notstressed
-15.06,Notstressed
-14.48,Notstressed
-14.55,Notstressed
-15.63,Notstressed
-17.88,Notstressed
-21.27,Notstressed
-25.38,Notstressed
-29.16,Notstressed
-30.91,Notstressed
-28.71,Notstressed
-21.29,Notstressed
-8.91,Notstressed
6.41,Notstressed
21.4,Notstressed
32.9,Notstressed
39.12,Notstressed
40.21,Notstressed
37.88,Notstressed
34.27,Notstressed
30.85,Notstressed
28,Notstressed
25.32,Notstressed
22.37,Notstressed
19.24,Notstressed
16.52,Notstressed
14.9,Notstressed
14.67,Notstressed
15.48,Notstressed
16.51,Notstressed
16.9,Notstressed
16.08,Notstressed
14.08,Notstressed
11.38,Notstressed
8.67,Notstressed
6.56,Notstressed
5.29,Notstressed
4.77,Notstressed
4.62,Notstressed
4.45,Notstressed
4.02,Notstressed
3.31,Notstressed
2.54,Notstressed
1.93,Notstressed
1.65,Notstressed
1.73,Notstressed
2.01,Notstressed
2.33,Notstressed
2.58,Notstressed
2.73,Notstressed
2.88,Notstressed
3.16,Notstressed
3.72,Notstressed
4.59,Notstressed
5.71,Notstressed
6.89,Notstressed
7.96,Notstressed
8.88,Notstressed
9.73,Notstressed
10.75,Notstressed
12.13,Notstressed
13.89,Notstressed
15.73,Notstressed
17.21,Notstressed
17.6,Notstressed
16.41,Notstressed
13.55,Notstressed
9.31,Notstressed
4.28,Notstressed
-0.92,Notstressed
-5.79,Notstressed
-10.06,Notstressed
-13.59,Notstressed
-16.35,Notstressed
-18.24,Notstressed
-19.2,Notstressed
-19.26,Notstressed
-18.58,Notstressed
-17.42,Notstressed
-16.07,Notstressed
-14.71,Notstressed
-13.34,Notstressed
-11.88,Notstressed
-10.19,Notstressed
-8.26,Notstressed
-6.23,Notstressed
-4.38,Notstressed
-3.06,Notstressed
-2.56,Notstressed
-3.03,Notstressed
-4.33,Notstressed
-6.16,Notstressed
-8.01,Notstressed
-9.43,Notstressed
-10.18,Notstressed
-10.32,Notstressed
-10.16,Notstressed
-10.06,Notstressed
-10.27,Notstressed
-10.8,Notstressed
-11.5,Notstressed
-12.17,Notstressed
-12.71,Notstressed
-13.23,Notstressed
-13.88,Notstressed
-14.82,Notstressed
-16.02,Notstressed
-17.24,Notstressed
-18.12,Notstressed
-18.19,Notstressed
-17.09,Notstressed
-14.7,Notstressed
-11.27,Notstressed
-7.33,Notstressed
-3.61,Notstressed
-0.81,Notstressed
0.63,Notstressed
0.61,Notstressed
-0.65,Notstressed
-2.7,Notstressed
-5.19,Notstressed
-7.92,Notstressed
-10.85,Notstressed
-13.88,Notstressed
-16.81,Notstressed
-19.24,Notstressed
-20.63,Notstressed
-21.04,Notstressed
-20.37,Notstressed
-18.73,Notstressed
-16.43,Notstressed
-13.82,Notstressed
-11.12,Notstressed
-8.44,Notstressed
-5.75,Notstressed
-3.12,Notstressed
-0.76,Notstressed
1,Notstressed
1.74,Notstressed
1.21,Notstressed
-0.53,Notstressed
-3.11,Notstressed
-5.98,Notstressed
-8.66,Notstressed
-10.89,Notstressed
-12.62,Notstressed
-13.85,Notstressed
-14.54,Notstressed
-14.57,Notstressed
-13.81,Notstressed
-12.28,Notstressed
-10.27,Notstressed
-8.22,Notstressed
-6.63,Notstressed
-5.8,Notstressed
-5.66,Notstressed
-5.82,Notstressed
-5.61,Notstressed
-4.34,Notstressed
-1.43,Notstressed
3.35,Notstressed
9.87,Notstressed
17.58,Notstressed
25.63,Notstressed
33.1,Notstressed
39.15,Notstressed
43.17,Notstressed
44.9,Notstressed
44.36,Notstressed
41.88,Notstressed
37.95,Notstressed
33.24,Notstressed
28.52,Notstressed
24.54,Notstressed
21.85,Notstressed
20.73,Notstressed
21.04,Notstressed
22.3,Notstressed
23.81,Notstressed
24.88,Notstressed
25.03,Notstressed
24.13,Notstressed
22.39,Notstressed
20.27,Notstressed
18.21,Notstressed
16.48,Notstressed
15.06,Notstressed
13.66,Notstressed
11.88,Notstressed
9.38,Notstressed
6.07,Notstressed
2.1,Notstressed
-2.14,Notstressed
-6.17,Notstressed
-9.59,Notstressed
-12.22,Notstressed
-14.19,Notstressed
-15.85,Notstressed
-17.68,Notstressed
-20.13,Notstressed
-23.36,Notstressed
-27.14,Notstressed
-30.84,Notstressed
-33.57,Notstressed
-34.42,Notstressed
-32.76,Notstressed
-28.38,Notstressed
-21.64,Notstressed
-13.28,Notstressed
-4.28,Notstressed
4.45,Notstressed
12.2,Notstressed
18.53,Notstressed
23.27,Notstressed
26.36,Notstressed
27.87,Notstressed
27.94,Notstressed
26.86,Notstressed
25.06,Notstressed
23.05,Notstressed
21.33,Notstressed
20.27,Notstressed
19.98,Notstressed
20.33,Notstressed
21.07,Notstressed
21.87,Notstressed
22.49,Notstressed
22.82,Notstressed
22.86,Notstressed
22.63,Notstressed
22.16,Notstressed
21.32,Notstressed
19.9,Notstressed
17.63,Notstressed
14.31,Notstressed
10.02,Notstressed
5.17,Notstressed
0.36,Notstressed
-3.78,Notstressed
-6.91,Notstressed
-9.12,Notstressed
-10.85,Notstressed
-12.66,Notstressed
-14.9,Notstressed
-17.63,Notstressed
-20.62,Notstressed
-23.58,Notstressed
-26.31,Notstressed
-28.76,Notstressed
-30.83,Notstressed
-32.17,Notstressed
-32.17,Notstressed
-30.11,Notstressed
-25.54,Notstressed
-18.53,Notstressed
-9.81,Notstressed
-0.53,Notstressed
8.09,Notstressed
15.11,Notstressed
20.1,Notstressed
23.06,Notstressed
24.28,Notstressed
24.12,Notstressed
22.94,Notstressed
21.08,Notstressed
18.86,Notstressed
16.64,Notstressed
14.77,Notstressed
13.53,Notstressed
13.08,Notstressed
13.41,Notstressed
14.34,Notstressed
15.57,Notstressed
16.76,Notstressed
17.63,Notstressed
18.04,Notstressed
17.99,Notstressed
17.62,Notstressed
17.02,Notstressed
16.2,Notstressed
15.04,Notstressed
13.35,Notstressed
10.98,Notstressed
7.97,Notstressed
4.55,Notstressed
1.03,Notstressed
-2.29,Notstressed
-5.25,Notstressed
-7.88,Notstressed
-10.28,Notstressed
-12.53,Notstressed
-14.7,Notstressed
-16.8,Notstressed
-18.88,Notstressed
-21.1,Notstressed
-23.57,Notstressed
-26.32,Notstressed
-29.04,Notstressed
-31.13,Notstressed
-31.81,Notstressed
-30.37,Notstressed
-26.5,Notstressed
-20.4,Notstressed
-12.74,Notstressed
-4.44,Notstressed
3.52,Notstressed
10.4,Notstressed
15.75,Notstressed
19.43,Notstressed
21.56,Notstressed
22.39,Notstressed
22.17,Notstressed
21.09,Notstressed
19.29,Notstressed
16.96,Notstressed
14.37,Notstressed
11.95,Notstressed
10.15,Notstressed
9.31,Notstressed
9.52,Notstressed
10.57,Notstressed
12.02,Notstressed
13.43,Notstressed
14.47,Notstressed
14.98,Notstressed
14.96,Notstressed
14.48,Notstressed
13.62,Notstressed
12.46,Notstressed
11.09,Notstressed
9.56,Notstressed
7.9,Notstressed
6.08,Notstressed
4.08,Notstressed
1.87,Notstressed
-0.47,Notstressed
-2.81,Notstressed
-4.99,Notstressed
-6.93,Notstressed
-8.62,Notstressed
-10.18,Notstressed
-11.72,Notstressed
-13.4,Notstressed
-15.34,Notstressed
-17.68,Notstressed
-20.49,Notstressed
-23.7,Notstressed
-26.96,Notstressed
-29.63,Notstressed
-30.92,Notstressed
-30.1,Notstressed
-26.78,Notstressed
-21.11,Notstressed
-13.75,Notstressed
-5.71,Notstressed
2.01,Notstressed
8.61,Notstressed
13.68,Notstressed
17.12,Notstressed
19.06,Notstressed
19.71,Notstressed
19.29,Notstressed
17.98,Notstressed
15.98,Notstressed
13.51,Notstressed
10.82,Notstressed
8.28,Notstressed
6.24,Notstressed
5,Notstressed
4.69,Notstressed
5.15,Notstressed
6,Notstressed
6.77,Notstressed
7.09,Notstressed
6.82,Notstressed
6.1,Notstressed
5.21,Notstressed
4.34,Notstressed
3.5,Notstressed
2.46,Notstressed
0.98,Notstressed
-1.09,Notstressed
-3.65,Notstressed
-6.39,Notstressed
-8.93,Notstressed
-11.02,Notstressed
-12.64,Notstressed
-13.99,Notstressed
-15.42,Notstressed
-17.26,Notstressed
-19.75,Notstressed
-22.89,Notstressed
-26.43,Notstressed
-29.88,Notstressed
-32.59,Notstressed
-33.86,Notstressed
-33.12,Notstressed
-30.14,Notstressed
-25.08,Notstressed
-18.47,Notstressed
-11.04,Notstressed
-3.57,Notstressed
3.29,Notstressed
9.09,Notstressed
13.52,Notstressed
16.45,Notstressed
17.83,Notstressed
17.76,Notstressed
16.47,Notstressed
14.31,Notstressed
11.72,Notstressed
9.13,Notstressed
6.95,Notstressed
5.48,Notstressed
4.95,Notstressed
5.4,Notstressed
6.7,Notstressed
8.49,Notstressed
10.3,Notstressed
11.68,Notstressed
12.3,Notstressed
12.1,Notstressed
11.2,Notstressed
9.83,Notstressed
8.18,Notstressed
6.33,Notstressed
4.25,Notstressed
1.89,Notstressed
-0.73,Notstressed
-3.49,Notstressed
-6.21,Notstressed
-8.71,Notstressed
-10.91,Notstressed
-12.82,Notstressed
-14.52,Notstressed
-16.13,Notstressed
-17.77,Notstressed
-19.59,Notstressed
-21.78,Notstressed
-24.51,Notstressed
-27.77,Notstressed
-31.23,Notstressed
-34.19,Notstressed
-35.75,Notstressed
-35.02,Notstressed
-31.49,Notstressed
-25.27,Notstressed
-17.06,Notstressed
-7.94,Notstressed
0.9,Notstressed
8.56,Notstressed
14.53,Notstressed
18.73,Notstressed
21.36,Notstressed
22.74,Notstressed
23.16,Notstressed
22.81,Notstressed
21.79,Notstressed
20.22,Notstressed
18.24,Notstressed
16.12,Notstressed
14.2,Notstressed
12.82,Notstressed
12.21,Notstressed
12.34,Notstressed
12.99,Notstressed
13.78,Notstressed
14.35,Notstressed
14.52,Notstressed
14.25,Notstressed
13.67,Notstressed
12.92,Notstressed
12.03,Notstressed
10.89,Notstressed
9.36,Notstressed
7.31,Notstressed
4.74,Notstressed
1.8,Notstressed
-1.31,Notstressed
-4.36,Notstressed
-7.19,Notstressed
-9.71,Notstressed
-11.9,Notstressed
-13.76,Notstressed
-15.38,Notstressed
-16.89,Notstressed
-18.51,Notstressed
-20.53,Notstressed
-23.14,Notstressed
-26.38,Notstressed
-29.93,Notstressed
-33.15,Notstressed
-35.2,Notstressed
-35.3,Notstressed
-32.99,Notstressed
-28.3,Notstressed
-21.73,Notstressed
-14.06,Notstressed
-6.13,Notstressed
1.36,Notstressed
7.93,Notstressed
13.25,Notstressed
17.1,Notstressed
19.37,Notstressed
20.14,Notstressed
19.66,Notstressed
18.37,Notstressed
16.72,Notstressed
15.13,Notstressed
13.83,Notstressed
12.94,Notstressed
12.52,Notstressed
12.56,Notstressed
13.07,Notstressed
13.96,Notstressed
15.09,Notstressed
16.27,Notstressed
17.26,Notstressed
17.91,Notstressed
18.04,Notstressed
17.53,Notstressed
16.28,Notstressed
14.28,Notstressed
11.62,Notstressed
8.59,Notstressed
5.56,Notstressed
2.88,Notstressed
0.67,Notstressed
-1.2,Notstressed
-3.04,Notstressed
-5.21,Notstressed
-7.84,Notstressed
-10.78,Notstressed
-13.64,Notstressed
-15.92,Notstressed
-17.27,Notstressed
-17.71,Notstressed
-17.65,Notstressed
-17.8,Notstressed
-18.92,Notstressed
-21.47,Notstressed
-25.35,Notstressed
-29.83,Notstressed
-33.76,Notstressed
-35.91,Notstressed
-35.4,Notstressed
-31.95,Notstressed
-25.93,Notstressed
-18.18,Notstressed
-9.67,Notstressed
-1.3,Notstressed
6.24,Notstressed
12.44,Notstressed
17,Notstressed
19.8,Notstressed
20.94,Notstressed
20.73,Notstressed
19.66,Notstressed
18.23,Notstressed
16.82,Notstressed
15.61,Notstressed
14.67,Notstressed
13.99,Notstressed
13.62,Notstressed
13.63,Notstressed
14.08,Notstressed
14.9,Notstressed
15.92,Notstressed
16.91,Notstressed
17.7,Notstressed
18.2,Notstressed
18.42,Notstressed
18.32,Notstressed
17.82,Notstressed
16.77,Notstressed
15.01,Notstressed
12.6,Notstressed
9.74,Notstressed
6.8,Notstressed
4.09,Notstressed
1.72,Notstressed
-0.42,Notstressed
-2.58,Notstressed
-4.93,Notstressed
-7.47,Notstressed
-10,Notstressed
-12.23,Notstressed
-14.02,Notstressed
-15.38,Notstressed
-16.55,Notstressed
-17.9,Notstressed
-19.77,Notstressed
-22.37,Notstressed
-25.67,Notstressed
-29.32,Notstressed
-32.66,Notstressed
-34.8,Notstressed
-34.87,Notstressed
-32.29,Notstressed
-27.05,Notstressed
-19.73,Notstressed
-11.37,Notstressed
-3.12,Notstressed
4.11,Notstressed
9.83,Notstressed
13.95,Notstressed
16.62,Notstressed
17.97,Notstressed
18.08,Notstressed
17.05,Notstressed
15.06,Notstressed
12.5,Notstressed
9.9,Notstressed
7.8,Notstressed
6.59,Notstressed
6.42,Notstressed
7.12,Notstressed
8.37,Notstressed
9.74,Notstressed
10.86,Notstressed
11.47,Notstressed
11.47,Notstressed
10.92,Notstressed
10.01,Notstressed
8.99,Notstressed
7.94,Notstressed
6.8,Notstressed
5.37,Notstressed
3.44,Notstressed
0.97,Notstressed
-1.86,Notstressed
-4.67,Notstressed
-7.16,Notstressed
-9.2,Notstressed
-10.95,Notstressed
-12.75,Notstressed
-14.9,Notstressed
-17.53,Notstressed
-20.56,Notstressed
-23.76,Notstressed
-26.89,Notstressed
-29.78,Notstressed
-32.25,Notstressed
-34.04,Notstressed
-34.74,Notstressed
-33.91,Notstressed
-31.17,Notstressed
-26.47,Notstressed
-20.15,Notstressed
-12.91,Notstressed
-5.66,Notstressed
0.77,Notstressed
5.81,Notstressed
9.21,Notstressed
11.03,Notstressed
11.46,Notstressed
10.78,Notstressed
9.26,Notstressed
7.18,Notstressed
4.89,Notstressed
2.78,Notstressed
1.26,Notstressed
0.64,Notstressed
1.04,Notstressed
2.32,Notstressed
4.17,Notstressed
6.16,Notstressed
7.89,Notstressed
9.13,Notstressed
9.82,Notstressed
10.09,Notstressed
10.14,Notstressed
10.06,Notstressed
9.77,Notstressed
9.01,Notstressed
7.48,Notstressed
4.99,Notstressed
1.62,Notstressed
-2.29,Notstressed
-6.25,Notstressed
-9.86,Notstressed
-12.88,Notstressed
-15.35,Notstressed
-17.42,Notstressed
-19.27,Notstressed
-21.07,Notstressed
-22.96,Notstressed
-25.11,Notstressed
-27.68,Notstressed
-30.72,Notstressed
-33.93,Notstressed
-36.63,Notstressed
-37.89,Notstressed
-36.83,Notstressed
-33,Notstressed
-26.55,Notstressed
-18.29,Notstressed
-9.31,Notstressed
-0.67,Notstressed
6.89,Notstressed
13.06,Notstressed
17.79,Notstressed
21.16,Notstressed
23.23,Notstressed
24.06,Notstressed
23.75,Notstressed
22.56,Notstressed
20.91,Notstressed
19.37,Notstressed
18.38,Notstressed
18.22,Notstressed
18.87,Notstressed
20.08,Notstressed
21.52,Notstressed
22.88,Notstressed
23.92,Notstressed
24.5,Notstressed
24.5,Notstressed
23.88,Notstressed
22.63,Notstressed
20.83,Notstressed
18.64,Notstressed
16.26,Notstressed
13.8,Notstressed
11.27,Notstressed
8.67,Notstressed
6.01,Notstressed
3.41,Notstressed
1.09,Notstressed
-0.76,Notstressed
-2.1,Notstressed
-3.1,Notstressed
-4.05,Notstressed
-5.24,Notstressed
-6.87,Notstressed
-9.06,Notstressed
-11.79,Notstressed
-14.94,Notstressed
-18.23,Notstressed
-21.13,Notstressed
-22.9,Notstressed
-22.77,Notstressed
-20.17,Notstressed
-15,Notstressed
-7.74,Notstressed
0.69,Notstressed
9.2,Notstressed
16.85,Notstressed
22.99,Notstressed
27.28,Notstressed
29.67,Notstressed
30.21,Notstressed
29.14,Notstressed
26.82,Notstressed
23.74,Notstressed
20.45,Notstressed
17.43,Notstressed
15,Notstressed
