Date,Label
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.09,Notstressed
32.09,Notstressed
32.09,Notstressed
32.09,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.07,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.05,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
32.03,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
32,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.99,Notstressed
31.97,Notstressed
31.97,Notstressed
31.97,Notstressed
31.97,Notstressed
31.95,Notstressed
31.95,Notstressed
31.95,Notstressed
31.95,Notstressed
31.95,Notstressed
31.95,Notstressed
31.95,Notstressed
31.95,Notstressed
31.93,Notstressed
31.93,Notstressed
31.93,Notstressed
31.93,Notstressed
31.95,Notstressed
31.95,Notstressed
31.95,Notstressed
31.95,Notstressed
31.93,Notstressed
31.93,Notstressed
31.93,Notstressed
31.93,Notstressed
31.93,Notstressed
31.93,Notstressed
31.93,Notstressed
31.93,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.89,Notstressed
31.89,Notstressed
31.89,Notstressed
31.89,Notstressed
31.89,Notstressed
31.89,Notstressed
31.89,Notstressed
31.89,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
31.91,Notstressed
