Datat,Label
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0,Notstressed
0.01,Notstressed
0.01,Notstressed
0,Notstressed
-0.03,Notstressed
-0.05,Notstressed
-0.05,Notstressed
0,Notstressed
0.13,Notstressed
0.36,Notstressed
0.66,Notstressed
1.01,Notstressed
1.37,Notstressed
1.72,Notstressed
2.06,Notstressed
2.4,Notstressed
2.79,Notstressed
3.24,Notstressed
3.8,Notstressed
4.42,Notstressed
5.06,Notstressed
5.66,Notstressed
6.2,Notstressed
6.68,Notstressed
7.15,Notstressed
7.68,Notstressed
8.31,Notstressed
9.14,Notstressed
10.09,Notstressed
11.04,Notstressed
11.88,Notstressed
12.56,Notstressed
13.14,Notstressed
13.76,Notstressed
14.65,Notstressed
15.96,Notstressed
17.91,Notstressed
20.32,Notstressed
22.9,Notstressed
25.38,Notstressed
27.58,Notstressed
29.57,Notstressed
31.68,Notstressed
34.32,Notstressed
37.81,Notstressed
42.54,Notstressed
48.15,Notstressed
54.1,Notstressed
59.83,Notstressed
64.97,Notstressed
69.58,Notstressed
74.14,Notstressed
79.34,Notstressed
85.71,Notstressed
93.76,Notstressed
103,Notstressed
112.62,Notstressed
121.73,Notstressed
129.77,Notstressed
136.75,Notstressed
143.3,Notstressed
150.75,Notstressed
157.77,Notstressed
166.64,Notstressed
177.95,Notstressed
191.79,Notstressed
206.97,Notstressed
220.57,Notstressed
228.25,Notstressed
225.36,Notstressed
208.53,Notstressed
176.87,Notstressed
132.76,Notstressed
80.05,Notstressed
23.08,Notstressed
-34.92,Notstressed
-92.4,Notstressed
-149.12,Notstressed
-205.23,Notstressed
-260.45,Notstressed
-313.93,Notstressed
-364.17,Notstressed
-410.23,Notstressed
-451.36,Notstressed
-486.96,Notstressed
-516.18,Notstressed
-537.66,Notstressed
-549.67,Notstressed
-550.48,Notstressed
-538.99,Notstressed
-514.94,Notstressed
-479.49,Notstressed
-434.72,Notstressed
-383.27,Notstressed
-327.79,Notstressed
-270.6,Notstressed
-213.47,Notstressed
-157.69,Notstressed
-104.26,Notstressed
-53.96,Notstressed
-7.7,Notstressed
33.73,Notstressed
69.65,Notstressed
99.69,Notstressed
123.87,Notstressed
142.54,Notstressed
156.35,Notstressed
166.08,Notstressed
172.53,Notstressed
176.32,Notstressed
177.9,Notstressed
177.48,Notstressed
175.16,Notstressed
170.96,Notstressed
164.99,Notstressed
157.53,Notstressed
149.05,Notstressed
140.16,Notstressed
131.43,Notstressed
123.26,Notstressed
115.68,Notstressed
108.41,Notstressed
100.95,Notstressed
92.87,Notstressed
84.01,Notstressed
74.62,Notstressed
65.32,Notstressed
56.77,Notstressed
49.43,Notstressed
43.36,Notstressed
38.18,Notstressed
33.29,Notstressed
28.09,Notstressed
22.13,Notstressed
15.15,Notstressed
7.17,Notstressed
-1.35,Notstressed
-9.22,Notstressed
-14.6,Notstressed
-15.47,Notstressed
-10.5,Notstressed
0.14,Notstressed
14.49,Notstressed
29.38,Notstressed
41.64,Notstressed
49.28,Notstressed
52.11,Notstressed
51.38,Notstressed
48.84,Notstressed
45.73,Notstressed
42.44,Notstressed
38.75,Notstressed
34.4,Notstressed
29.63,Notstressed
25.19,Notstressed
22.03,Notstressed
20.7,Notstressed
21.12,Notstressed
22.56,Notstressed
23.88,Notstressed
24.09,Notstressed
22.76,Notstressed
20.11,Notstressed
16.84,Notstressed
13.77,Notstressed
11.42,Notstressed
9.98,Notstressed
9.27,Notstressed
8.97,Notstressed
8.78,Notstressed
8.49,Notstressed
7.93,Notstressed
7.02,Notstressed
5.74,Notstressed
4.24,Notstressed
2.8,Notstressed
1.71,Notstressed
1.07,Notstressed
0.78,Notstressed
0.56,Notstressed
0.11,Notstressed
-0.64,Notstressed
-1.57,Notstressed
-2.42,Notstressed
-3.02,Notstressed
-3.36,Notstressed
-3.61,Notstressed
-3.99,Notstressed
-4.62,Notstressed
-5.51,Notstressed
-6.46,Notstressed
-7.23,Notstressed
-7.65,Notstressed
-7.64,Notstressed
-7.31,Notstressed
-6.81,Notstressed
-6.3,Notstressed
-5.89,Notstressed
-5.58,Notstressed
-5.29,Notstressed
-4.99,Notstressed
-4.68,Notstressed
-4.39,Notstressed
-4.18,Notstressed
-4.04,Notstressed
-3.83,Notstressed
-3.35,Notstressed
-2.35,Notstressed
-0.67,Notstressed
1.64,Notstressed
4.32,Notstressed
6.9,Notstressed
8.93,Notstressed
10.12,Notstressed
10.5,Notstressed
10.32,Notstressed
9.97,Notstressed
9.77,Notstressed
9.84,Notstressed
10.15,Notstressed
10.49,Notstressed
10.72,Notstressed
10.79,Notstressed
10.77,Notstressed
10.73,Notstressed
10.73,Notstressed
10.69,Notstressed
10.46,Notstressed
9.8,Notstressed
8.61,Notstressed
6.75,Notstressed
4.25,Notstressed
1.3,Notstressed
-1.82,Notstressed
-4.83,Notstressed
-7.48,Notstressed
-9.61,Notstressed
-11.23,Notstressed
-12.43,Notstressed
-13.36,Notstressed
-14.14,Notstressed
-14.74,Notstressed
-15.1,Notstressed
-15.09,Notstressed
-14.68,Notstressed
-13.94,Notstressed
-13.06,Notstressed
-12.22,Notstressed
-11.56,Notstressed
-11.11,Notstressed
-10.82,Notstressed
-10.64,Notstressed
-10.57,Notstressed
-10.54,Notstressed
-10.43,Notstressed
-9.96,Notstressed
-8.83,Notstressed
-6.84,Notstressed
-4.04,Notstressed
-0.8,Notstressed
2.25,Notstressed
4.5,Notstressed
5.53,Notstressed
5.31,Notstressed
4.16,Notstressed
2.54,Notstressed
0.9,Notstressed
-0.5,Notstressed
-1.61,Notstressed
-2.48,Notstressed
-3.19,Notstressed
-3.73,Notstressed
-4.06,Notstressed
-4.1,Notstressed
-3.85,Notstressed
-3.35,Notstressed
-2.72,Notstressed
-2.05,Notstressed
-1.42,Notstressed
-0.9,Notstressed
-0.57,Notstressed
-0.5,Notstressed
-0.75,Notstressed
-1.31,Notstressed
-2.13,Notstressed
-3.1,Notstressed
-4.1,Notstressed
-5.08,Notstressed
-6.03,Notstressed
-7,Notstressed
-8,Notstressed
-9.03,Notstressed
-10,Notstressed
-10.83,Notstressed
-11.43,Notstressed
-11.79,Notstressed
-12.02,Notstressed
-12.36,Notstressed
-13.09,Notstressed
-14.39,Notstressed
-16.26,Notstressed
-18.46,Notstressed
-20.5,Notstressed
-21.82,Notstressed
-21.87,Notstressed
-20.31,Notstressed
-17.07,Notstressed
-12.4,Notstressed
-6.78,Notstressed
-0.87,Notstressed
4.68,Notstressed
9.35,Notstressed
12.85,Notstressed
15.09,Notstressed
16.21,Notstressed
16.43,Notstressed
15.99,Notstressed
15.1,Notstressed
13.93,Notstressed
12.64,Notstressed
11.4,Notstressed
10.37,Notstressed
9.69,Notstressed
9.48,Notstressed
9.75,Notstressed
10.45,Notstressed
11.44,Notstressed
12.54,Notstressed
13.58,Notstressed
14.41,Notstressed
14.93,Notstressed
15.08,Notstressed
14.82,Notstressed
14.09,Notstressed
12.85,Notstressed
11.12,Notstressed
8.97,Notstressed
6.56,Notstressed
4.12,Notstressed
1.87,Notstressed
-0.05,Notstressed
-1.65,Notstressed
-3.07,Notstressed
-4.52,Notstressed
-6.19,Notstressed
-8.21,Notstressed
-10.66,Notstressed
-13.53,Notstressed
-16.73,Notstressed
-20.14,Notstressed
-23.43,Notstressed
-26.15,Notstressed
-27.7,Notstressed
-27.58,Notstressed
-25.48,Notstressed
-21.51,Notstressed
-16.18,Notstressed
-10.24,Notstressed
-4.47,Notstressed
0.54,Notstressed
4.58,Notstressed
7.66,Notstressed
9.94,Notstressed
11.56,Notstressed
12.49,Notstressed
12.64,Notstressed
12,Notstressed
10.72,Notstressed
9.16,Notstressed
7.78,Notstressed
6.96,Notstressed
6.88,Notstressed
7.49,Notstressed
8.55,Notstressed
9.79,Notstressed
11.02,Notstressed
12.19,Notstressed
13.27,Notstressed
14.24,Notstressed
15.01,Notstressed
15.44,Notstressed
15.38,Notstressed
14.78,Notstressed
13.67,Notstressed
12.21,Notstressed
10.6,Notstressed
9.05,Notstressed
7.7,Notstressed
6.6,Notstressed
5.67,Notstressed
4.77,Notstressed
3.65,Notstressed
2.14,Notstressed
0.07,Notstressed
-2.58,Notstressed
-5.71,Notstressed
-9.09,Notstressed
-12.38,Notstressed
-15.22,Notstressed
-17.22,Notstressed
-17.99,Notstressed
-17.27,Notstressed
-14.96,Notstressed
-11.18,Notstressed
-6.29,Notstressed
-0.89,Notstressed
4.36,Notstressed
8.88,Notstressed
12.31,Notstressed
14.58,Notstressed
15.82,Notstressed
16.29,Notstressed
16.2,Notstressed
15.68,Notstressed
14.76,Notstressed
13.53,Notstressed
12.13,Notstressed
10.81,Notstressed
9.86,Notstressed
9.47,Notstressed
9.7,Notstressed
10.42,Notstressed
11.38,Notstressed
12.26,Notstressed
12.86,Notstressed
13.11,Notstressed
13.08,Notstressed
12.9,Notstressed
12.67,Notstressed
12.35,Notstressed
11.81,Notstressed
10.86,Notstressed
9.37,Notstressed
7.39,Notstressed
5.12,Notstressed
2.87,Notstressed
0.88,Notstressed
-0.73,Notstressed
-2.04,Notstressed
-3.21,Notstressed
-4.47,Notstressed
-5.99,Notstressed
-7.91,Notstressed
-10.3,Notstressed
-13.1,Notstressed
-16.15,Notstressed
-19.06,Notstressed
-21.29,Notstressed
-22.26,Notstressed
-21.53,Notstressed
-19.01,Notstressed
-14.94,Notstressed
-9.95,Notstressed
-4.73,Notstressed
0.06,Notstressed
4.03,Notstressed
7.02,Notstressed
9.07,Notstressed
10.33,Notstressed
10.92,Notstressed
10.96,Notstressed
10.54,Notstressed
9.74,Notstressed
8.71,Notstressed
7.64,Notstressed
6.73,Notstressed
6.15,Notstressed
6.03,Notstressed
6.36,Notstressed
7,Notstressed
7.76,Notstressed
8.4,Notstressed
8.79,Notstressed
8.92,Notstressed
8.89,Notstressed
8.79,Notstressed
8.69,Notstressed
8.49,Notstressed
8.04,Notstressed
7.2,Notstressed
5.93,Notstressed
4.35,Notstressed
2.65,Notstressed
1.04,Notstressed
-0.41,Notstressed
-1.73,Notstressed
-2.99,Notstressed
-4.25,Notstressed
-5.55,Notstressed
-6.93,Notstressed
-8.45,Notstressed
-10.26,Notstressed
-12.43,Notstressed
-14.91,Notstressed
-17.43,Notstressed
-19.51,Notstressed
-20.66,Notstressed
-20.47,Notstressed
-18.83,Notstressed
-15.93,Notstressed
-12.17,Notstressed
-8.04,Notstressed
-4,Notstressed
-0.37,Notstressed
2.65,Notstressed
4.98,Notstressed
6.55,Notstressed
7.36,Notstressed
7.45,Notstressed
6.9,Notstressed
5.89,Notstressed
4.67,Notstressed
3.54,Notstressed
2.8,Notstressed
2.66,Notstressed
3.18,Notstressed
4.23,Notstressed
5.53,Notstressed
6.76,Notstressed
7.62,Notstressed
7.96,Notstressed
7.82,Notstressed
7.36,Notstressed
6.79,Notstressed
6.27,Notstressed
5.85,Notstressed
5.44,Notstressed
4.85,Notstressed
3.92,Notstressed
2.57,Notstressed
0.87,Notstressed
-1.04,Notstressed
-2.97,Notstressed
-4.79,Notstressed
-6.46,Notstressed
-8.06,Notstressed
-9.67,Notstressed
-11.4,Notstressed
-13.33,Notstressed
-15.51,Notstressed
-17.87,Notstressed
-20.23,Notstressed
-22.24,Notstressed
-23.41,Notstressed
-23.28,Notstressed
-21.59,Notstressed
-18.4,Notstressed
-14.14,Notstressed
-9.41,Notstressed
-4.83,Notstressed
-0.85,Notstressed
2.32,Notstressed
4.65,Notstressed
6.2,Notstressed
7.03,Notstressed
7.18,Notstressed
6.68,Notstressed
5.64,Notstressed
4.28,Notstressed
2.87,Notstressed
1.73,Notstressed
1.09,Notstressed
1.02,Notstressed
1.48,Notstressed
2.27,Notstressed
3.18,Notstressed
4.04,Notstressed
4.75,Notstressed
5.27,Notstressed
5.62,Notstressed
5.79,Notstressed
5.75,Notstressed
5.48,Notstressed
4.94,Notstressed
4.12,Notstressed
3.03,Notstressed
1.67,Notstressed
0.06,Notstressed
-1.74,Notstressed
-3.6,Notstressed
-5.36,Notstressed
-6.89,Notstressed
-8.17,Notstressed
-9.35,Notstressed
-10.67,Notstressed
-12.38,Notstressed
-14.66,Notstressed
-17.41,Notstressed
-20.36,Notstressed
-23.02,Notstressed
-24.82,Notstressed
-25.31,Notstressed
-24.22,Notstressed
-21.53,Notstressed
-17.53,Notstressed
-12.71,Notstressed
-7.67,Notstressed
-2.98,Notstressed
0.97,Notstressed
3.99,Notstressed
6.09,Notstressed
7.4,Notstressed
8.06,Notstressed
8.16,Notstressed
7.72,Notstressed
6.8,Notstressed
5.53,Notstressed
4.18,Notstressed
3.09,Notstressed
2.55,Notstressed
2.69,Notstressed
3.42,Notstressed
4.47,Notstressed
5.5,Notstressed
6.26,Notstressed
6.64,Notstressed
6.72,Notstressed
6.65,Notstressed
6.56,Notstressed
6.47,Notstressed
6.2,Notstressed
5.56,Notstressed
4.35,Notstressed
2.6,Notstressed
0.5,Notstressed
-1.63,Notstressed
-3.51,Notstressed
-5.02,Notstressed
-6.22,Notstressed
-7.31,Notstressed
-8.5,Notstressed
-9.94,Notstressed
-11.72,Notstressed
-13.88,Notstressed
-16.46,Notstressed
-19.34,Notstressed
-22.27,Notstressed
-24.74,Notstressed
-26.17,Notstressed
-26.04,Notstressed
-24.15,Notstressed
-20.68,Notstressed
-16.11,Notstressed
-11.07,Notstressed
-6.14,Notstressed
-1.73,Notstressed
1.94,Notstressed
4.81,Notstressed
6.86,Notstressed
8.1,Notstressed
8.57,Notstressed
8.3,Notstressed
7.42,Notstressed
6.16,Notstressed
4.83,Notstressed
3.77,Notstressed
3.25,Notstressed
3.42,Notstressed
4.22,Notstressed
5.46,Notstressed
6.87,Notstressed
8.23,Notstressed
9.37,Notstressed
10.21,Notstressed
10.72,Notstressed
10.88,Notstressed
10.62,Notstressed
9.91,Notstressed
8.78,Notstressed
7.28,Notstressed
5.54,Notstressed
3.65,Notstressed
1.7,Notstressed
-0.29,Notstressed
-2.31,Notstressed
-4.33,Notstressed
-6.3,Notstressed
-8.16,Notstressed
-9.93,Notstressed
-11.73,Notstressed
-13.83,Notstressed
-16.46,Notstressed
-19.76,Notstressed
-23.52,Notstressed
-27.27,Notstressed
-30.31,Notstressed
-31.96,Notstressed
-31.74,Notstressed
-29.56,Notstressed
-25.71,Notstressed
-20.82,Notstressed
-15.63,Notstressed
-10.8,Notstressed
-6.77,Notstressed
-3.75,Notstressed
-1.7,Notstressed
-0.49,Notstressed
0.06,Notstressed
0.07,Notstressed
-0.36,Notstressed
-1.14,Notstressed
-2.11,Notstressed
-3.01,Notstressed
-3.59,Notstressed
-3.6,Notstressed
-2.96,Notstressed
-1.72,Notstressed
-0.1,Notstressed
1.62,Notstressed
3.17,Notstressed
4.4,Notstressed
5.26,Notstressed
5.78,Notstressed
6.05,Notstressed
6.09,Notstressed
5.88,Notstressed
5.37,Notstressed
4.48,Notstressed
3.23,Notstressed
1.68,Notstressed
-0.05,Notstressed
-1.81,Notstressed
-3.5,Notstressed
-5.07,Notstressed
-6.57,Notstressed
-8.05,Notstressed
-9.66,Notstressed
-11.55,Notstressed
-13.89,Notstressed
-16.76,Notstressed
-20.08,Notstressed
-23.47,Notstressed
-26.28,Notstressed
-27.72,Notstressed
-27.15,Notstressed
-24.25,Notstressed
-19.22,Notstressed
-12.73,Notstressed
-5.66,Notstressed
1.17,Notstressed
7.19,Notstressed
12.13,Notstressed
15.98,Notstressed
18.8,Notstressed
20.66,Notstressed
21.6,Notstressed
21.67,Notstressed
21,Notstressed
19.83,Notstressed
18.5,Notstressed
17.36,Notstressed
16.75,Notstressed
16.86,Notstressed
17.72,Notstressed
19.15,Notstressed
20.83,Notstressed
22.4,Notstressed
23.59,Notstressed
24.29,Notstressed
24.5,Notstressed
24.32,Notstressed
23.85,Notstressed
23.07,Notstressed
21.93,Notstressed
20.36,Notstressed
18.35,Notstressed
15.99,Notstressed
13.43,Notstressed
10.86,Notstressed
8.42,Notstressed
6.22,Notstressed
4.28,Notstressed
2.55,Notstressed
0.91,Notstressed
-0.85,Notstressed
-2.94,Notstressed
-5.61,Notstressed
-8.96,Notstressed
-12.9,Notstressed
-17.13,Notstressed
-21.05,Notstressed
-23.98,Notstressed
-25.24,Notstressed
-24.39,Notstressed
-21.37,Notstressed
-16.52,Notstressed
-10.5,Notstressed
-4.12,Notstressed
1.9,Notstressed
7.09,Notstressed
11.23,Notstressed
14.31,Notstressed
16.41,Notstressed
17.59,Notstressed
17.9,Notstressed
17.46,Notstressed
16.46,Notstressed
15.23,Notstressed
14.14,Notstressed
13.51,Notstressed
13.49,Notstressed
14.08,Notstressed
15.07,Notstressed
16.2,Notstressed
17.21,Notstressed
17.93,Notstressed
18.3,Notstressed
18.33,Notstressed
18.11,Notstressed
17.7,Notstressed
17.14,Notstressed
16.42,Notstressed
15.51,Notstressed
14.32,Notstressed
12.82,Notstressed
11.03,Notstressed
9.01,Notstressed
6.92,Notstressed
4.89,Notstressed
3.03,Notstressed
1.38,Notstressed
-0.13,Notstressed
-1.64,Notstressed
-3.32,Notstressed
-5.34,Notstressed
-7.84,Notstressed
-10.89,Notstressed
-14.39,Notstressed
-18.05,Notstressed
-21.3,Notstressed
-23.44,Notstressed
-23.79,Notstressed
-21.91,Notstressed
-17.86,Notstressed
-12.16,Notstressed
-5.69,Notstressed
0.64,Notstressed
6.12,Notstressed
10.39,Notstressed
13.46,Notstressed
15.53,Notstressed
16.83,Notstressed
17.53,Notstressed
17.68,Notstressed
17.27,Notstressed
16.39,Notstressed
15.2,Notstressed
14.04,Notstressed
13.25,Notstressed
13.1,Notstressed
13.64,Notstressed
14.7,Notstressed
15.97,Notstressed
17.13,Notstressed
18.01,Notstressed
18.59,Notstressed
18.99,Notstressed
19.3,Notstressed
19.48,Notstressed
19.38,Notstressed
18.78,Notstressed
17.52,Notstressed
15.6,Notstressed
13.19,Notstressed
10.58,Notstressed
8.03,Notstressed
5.74,Notstressed
3.78,Notstressed
2.09,Notstressed
0.55,Notstressed
-0.98,Notstressed
-2.65,Notstressed
-4.59,Notstressed
-6.93,Notstressed
-9.77,Notstressed
-13.03,Notstressed
-16.46,Notstressed
-19.57,Notstressed
-21.72,Notstressed
-22.32,Notstressed
-21,Notstressed
-17.83,Notstressed
-13.29,Notstressed
-8.09,Notstressed
-2.99,Notstressed
1.47,Notstressed
5.01,Notstressed
7.6,Notstressed
9.35,Notstressed
10.38,Notstressed
10.75,Notstressed
10.49,Notstressed
9.69,Notstressed
8.53,Notstressed
7.26,Notstressed
6.2,Notstressed
5.6,Notstressed
5.59,Notstressed
6.16,Notstressed
7.17,Notstressed
8.43,Notstressed
9.78,Notstressed
11.09,Notstressed
12.24,Notstressed
13.12,Notstressed
13.57,Notstressed
13.44,Notstressed
12.61,Notstressed
11.11,Notstressed
9.1,Notstressed
6.8,Notstressed
4.49,Notstressed
2.34,Notstressed
0.42,Notstressed
-1.27,Notstressed
-2.77,Notstressed
-4.15,Notstressed
-5.53,Notstressed
-7.02,Notstressed
-8.78,Notstressed
-10.91,Notstressed
-13.41,Notstressed
-16.18,Notstressed
-18.99,Notstressed
-21.44,Notstressed
