Data,Label
0.217813,Notstressed
0.276751,Notstressed
0.279313,Notstressed
0.279313,Notstressed
0.281876,Notstressed
0.281876,Notstressed
0.280595,Notstressed
0.281876,Notstressed
0.283157,Notstressed
0.283157,Notstressed
0.284438,Notstressed
0.284438,Notstressed
0.28572,Notstressed
0.287001,Notstressed
0.288282,Notstressed
0.293407,Notstressed
0.298532,Notstressed
0.297251,Notstressed
0.29597,Notstressed
0.29597,Notstressed
0.29597,Notstressed
0.293407,Notstressed
0.292126,Notstressed
0.292126,Notstressed
0.292126,Notstressed
0.290845,Notstressed
0.289563,Notstressed
0.289563,Notstressed
0.289563,Notstressed
0.288282,Notstressed
0.288282,Notstressed
0.288282,Notstressed
0.288282,Notstressed
0.287001,Notstressed
0.287001,Notstressed
0.288282,Notstressed
0.287001,Notstressed
0.287001,Notstressed
0.287001,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.287001,Notstressed
0.28572,Notstressed
0.284438,Notstressed
0.284438,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.287001,Notstressed
0.287001,Notstressed
0.287001,Notstressed
0.287001,Notstressed
0.287001,Notstressed
0.288282,Notstressed
0.287001,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.284438,Notstressed
0.284438,Notstressed
0.284438,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.284438,Notstressed
0.283157,Notstressed
0.284438,Notstressed
0.281876,Notstressed
0.283157,Notstressed
0.283157,Notstressed
0.283157,Notstressed
0.283157,Notstressed
0.284438,Notstressed
0.284438,Notstressed
0.284438,Notstressed
0.284438,Notstressed
0.283157,Notstressed
0.28572,Notstressed
0.284438,Notstressed
0.283157,Notstressed
0.284438,Notstressed
0.28572,Notstressed
0.28572,Notstressed
0.288282,Notstressed
0.288282,Notstressed
0.288282,Notstressed
0.289563,Notstressed
0.289563,Notstressed
0.290845,Notstressed
0.292126,Notstressed
0.293407,Notstressed
0.297251,Notstressed
0.299813,Notstressed
0.307501,Notstressed
0.307501,Notstressed
0.307501,Notstressed
0.304938,Notstressed
0.303657,Notstressed
0.303657,Notstressed
0.302376,Notstressed
0.301095,Notstressed
0.298532,Notstressed
0.297251,Notstressed
0.298532,Notstressed
0.298532,Notstressed
0.298532,Notstressed
0.298532,Notstressed
0.29597,Notstressed
0.297251,Notstressed
0.297251,Notstressed
0.299813,Notstressed
0.299813,Notstressed
0.301095,Notstressed
0.304938,Notstressed
0.304938,Notstressed
0.304938,Notstressed
0.30622,Notstressed
0.304938,Notstressed
0.303657,Notstressed
0.302376,Notstressed
0.301095,Notstressed
0.301095,Notstressed
0.299813,Notstressed
0.298532,Notstressed
0.298532,Notstressed
0.298532,Notstressed
0.297251,Notstressed
0.297251,Notstressed
0.297251,Notstressed
0.297251,Notstressed
0.29597,Notstressed
0.29597,Notstressed
0.29597,Notstressed
0.29597,Notstressed
0.29597,Notstressed
0.294688,Notstressed
0.294688,Notstressed
0.29597,Notstressed
0.29597,Notstressed
0.294688,Notstressed
0.294688,Notstressed
0.293407,Notstressed
0.293407,Notstressed
0.293407,Notstressed
0.292126,Notstressed
0.292126,Notstressed
0.292126,Notstressed
0.292126,Notstressed
0.290845,Notstressed
0.290845,Notstressed
0.289563,Notstressed
0.290845,Notstressed
0.289563,Notstressed
0.289563,Notstressed
0.290845,Notstressed
0.289563,Notstressed
0.289563,Notstressed
0.288282,Notstressed
0.289563,Notstressed
0.289563,Notstressed
0.288282,Notstressed
0.289563,Notstressed
0.289563,Notstressed
0.288282,Notstressed
0.289563,Notstressed
0.293407,Notstressed
0.293407,Notstressed
0.29597,Notstressed
0.298532,Notstressed
0.30622,Notstressed
0.308782,Notstressed
0.311345,Notstressed
0.311345,Notstressed
0.311345,Notstressed
0.311345,Notstressed
0.312626,Notstressed
0.312626,Notstressed
0.312626,Notstressed
0.312626,Notstressed
0.312626,Notstressed
0.313907,Notstressed
0.312626,Notstressed
0.312626,Notstressed
0.312626,Notstressed
0.311345,Notstressed
0.312626,Notstressed
0.311345,Notstressed
0.310063,Notstressed
0.310063,Notstressed
0.308782,Notstressed
0.308782,Notstressed
0.308782,Notstressed
0.307501,Notstressed
0.307501,Notstressed
0.308782,Notstressed
0.30622,Notstressed
0.30622,Notstressed
0.30622,Notstressed
0.308782,Notstressed
0.30622,Notstressed
0.30622,Notstressed
0.30622,Notstressed
0.307501,Notstressed
0.30622,Notstressed
0.30622,Notstressed
0.307501,Notstressed
0.307501,Notstressed
0.307501,Notstressed
0.307501,Notstressed
0.30622,Notstressed
0.303657,Notstressed
0.302376,Notstressed
0.302376,Notstressed
0.302376,Notstressed
0.301095,Notstressed
0.301095,Notstressed
0.301095,Notstressed
0.299813,Notstressed
0.299813,Notstressed
0.299813,Notstressed
0.301095,Notstressed
0.299813,Notstressed
0.299813,Notstressed
0.298532,Notstressed
