Data,Label
55,Notstressed
62.5,Notstressed
70,Notstressed
70,Notstressed
72.2,Notstressed
73.67,Notstressed
74.71,Notstressed
75.5,Notstressed
76.11,Notstressed
76.5,Notstressed
76.82,Notstressed
77.08,Notstressed
77.46,Notstressed
77.79,Notstressed
78.13,Notstressed
78.5,Notstressed
78.88,Notstressed
79.33,Notstressed
79.79,Notstressed
80.15,Notstressed
80.43,Notstressed
80.64,Notstressed
80.83,Notstressed
80.92,Notstressed
81,Notstressed
81.08,Notstressed
81.19,Notstressed
81.29,Notstressed
81.38,Notstressed
81.5,Notstressed
81.61,Notstressed
81.69,Notstressed
81.76,Notstressed
81.82,Notstressed
81.91,Notstressed
82,Notstressed
82.11,Notstressed
82.21,Notstressed
82.31,Notstressed
82.43,Notstressed
82.51,Notstressed
82.6,Notstressed
82.65,Notstressed
82.7,Notstressed
82.73,Notstressed
82.74,Notstressed
82.74,Notstressed
82.73,Notstressed
82.69,Notstressed
82.66,Notstressed
82.61,Notstressed
82.52,Notstressed
82.42,Notstressed
82.28,Notstressed
82.13,Notstressed
81.95,Notstressed
81.75,Notstressed
81.59,Notstressed
81.46,Notstressed
81.35,Notstressed
81.72,Notstressed
81.87,Notstressed
81.78,Notstressed
81.95,Notstressed
81.93,Notstressed
81.88,Notstressed
81.82,Notstressed
81.72,Notstressed
81.62,Notstressed
81.53,Notstressed
81.45,Notstressed
81.35,Notstressed
81.2,Notstressed
81.05,Notstressed
80.88,Notstressed
80.7,Notstressed
80.5,Notstressed
80.27,Notstressed
80.02,Notstressed
79.77,Notstressed
79.55,Notstressed
79.35,Notstressed
79.17,Notstressed
79.03,Notstressed
78.9,Notstressed
78.78,Notstressed
78.65,Notstressed
78.52,Notstressed
78.4,Notstressed
78.27,Notstressed
78.13,Notstressed
78.02,Notstressed
77.9,Notstressed
77.77,Notstressed
77.62,Notstressed
77.48,Notstressed
77.35,Notstressed
77.25,Notstressed
77.17,Notstressed
77.08,Notstressed
77.03,Notstressed
76.98,Notstressed
76.93,Notstressed
76.88,Notstressed
76.83,Notstressed
76.8,Notstressed
76.77,Notstressed
76.75,Notstressed
76.75,Notstressed
76.77,Notstressed
76.8,Notstressed
76.87,Notstressed
76.93,Notstressed
77.03,Notstressed
77.15,Notstressed
77.32,Notstressed
77.52,Notstressed
77.7,Notstressed
77.85,Notstressed
77.98,Notstressed
78.1,Notstressed
78.2,Notstressed
78.28,Notstressed
78.35,Notstressed
78.43,Notstressed
78.55,Notstressed
78.68,Notstressed
78.85,Notstressed
78.98,Notstressed
79.1,Notstressed
79.22,Notstressed
79.32,Notstressed
79.42,Notstressed
79.5,Notstressed
79.57,Notstressed
79.62,Notstressed
79.67,Notstressed
79.72,Notstressed
79.77,Notstressed
79.82,Notstressed
79.87,Notstressed
79.92,Notstressed
79.95,Notstressed
79.97,Notstressed
80,Notstressed
80.02,Notstressed
80.03,Notstressed
80.07,Notstressed
80.07,Notstressed
80.08,Notstressed
80.1,Notstressed
80.12,Notstressed
80.12,Notstressed
80.15,Notstressed
80.18,Notstressed
80.18,Notstressed
80.18,Notstressed
80.15,Notstressed
80.08,Notstressed
79.98,Notstressed
79.85,Notstressed
79.72,Notstressed
79.6,Notstressed
79.48,Notstressed
79.4,Notstressed
79.32,Notstressed
79.25,Notstressed
79.18,Notstressed
79.12,Notstressed
79.05,Notstressed
78.98,Notstressed
78.92,Notstressed
