 IBI,Label
0.937543,Notstressed
0.734409,Notstressed
0.750034,Notstressed
0.750034,Notstressed
0.750034,Notstressed
0.703157,Notstressed
0.718783,Notstressed
0.65628,Notstressed
0.734409,Notstressed
0.687531,Notstressed
0.703157,Notstressed
0.718783,Notstressed
0.703157,Notstressed
0.718783,Notstressed
0.718783,Notstressed
0.718783,Notstressed
0.703157,Notstressed
0.687531,Notstressed
0.718783,Notstressed
0.734409,Notstressed
0.640654,Notstressed
0.703157,Notstressed
0.703157,Notstressed
0.734409,Notstressed
0.812537,Notstressed
0.87504,Notstressed
0.87504,Notstressed
0.828163,Notstressed
0.859414,Notstressed
0.843789,Notstressed
0.76566,Notstressed
0.750034,Notstressed
0.843789,Notstressed
0.781286,Notstressed
0.828163,Notstressed
0.828163,Notstressed
0.812537,Notstressed
0.828163,Notstressed
0.812537,Notstressed
0.812537,Notstressed
0.796911,Notstressed
0.796911,Notstressed
0.812537,Notstressed
0.828163,Notstressed
0.828163,Notstressed
0.859414,Notstressed
0.859414,Notstressed
0.843789,Notstressed
0.828163,Notstressed
0.812537,Notstressed
0.812537,Notstressed
0.828163,Notstressed
0.828163,Notstressed
0.781286,Notstressed
0.796911,Notstressed
0.781286,Notstressed
0.750034,Notstressed
0.781286,Notstressed
0.76566,Notstressed
0.76566,Notstressed
0.781286,Notstressed
0.76566,Notstressed
0.796911,Notstressed
0.812537,Notstressed
0.796911,Notstressed
0.796911,Notstressed
0.76566,Notstressed
0.781286,Notstressed
0.76566,Notstressed
0.750034,Notstressed
0.76566,Notstressed
0.734409,Notstressed
0.734409,Notstressed
0.687531,Notstressed
0.671906,Notstressed
0.703157,Notstressed
0.687531,Notstressed
0.750034,Notstressed
0.734409,Notstressed
0.76566,Notstressed
0.76566,Notstressed
0.76566,Notstressed
0.734409,Notstressed
0.734409,Notstressed
0.703157,Notstressed
0.718783,Notstressed
0.703157,Notstressed
0.734409,Notstressed
0.734409,Notstressed
0.750034,Notstressed
0.750034,Notstressed
0.734409,Notstressed
0.734409,Notstressed
0.703157,Notstressed
0.796911,Notstressed
0.734409,Notstressed
0.687531,Notstressed
0.76566,Notstressed
0.671906,Notstressed
0.671906,Notstressed
0.65628,Notstressed
0.76566,Notstressed
0.703157,Notstressed
0.734409,Notstressed
0.781286,Notstressed
0.703157,Notstressed
0.718783,Notstressed
0.703157,Notstressed
0.750034,Notstressed
0.796911,Notstressed
0.76566,Notstressed
0.781286,Notstressed
0.76566,Notstressed
0.781286,Notstressed
0.76566,Notstressed
0.781286,Notstressed
0.812537,Notstressed
0.796911,Notstressed
0.828163,Notstressed
0.796911,Notstressed
0.796911,Notstressed
0.796911,Notstressed
0.781286,Notstressed
0.781286,Notstressed
0.76566,Notstressed
0.781286,Notstressed
0.796911,Notstressed
0.781286,Notstressed
0.781286,Notstressed
0.781286,Notstressed
0.781286,Notstressed
0.76566,Notstressed
0.750034,Notstressed
0.76566,Notstressed
0.76566,Notstressed
0.781286,Notstressed
0.76566,Notstressed
0.76566,Notstressed
0.796911,Notstressed
0.781286,Notstressed
0.796911,Notstressed
0.781286,Notstressed
0.750034,Notstressed
0.750034,Notstressed
0.76566,Notstressed
0.750034,Notstressed
0.781286,Notstressed
0.796911,Notstressed
0.812537,Notstressed
0.828163,Notstressed
0.812537,Stressed
0.781286,Stressed
0.796911,Stressed
0.812537,Stressed
0.828163,Stressed
0.828163,Stressed
0.859414,Stressed
0.781286,Stressed
0.843789,Stressed
0.812537,Stressed
0.890666,Stressed
0.796911,Stressed
0.843789,Stressed
0.796911,Stressed
0.859414,Stressed
0.734409,Stressed
0.812537,Stressed
0.812537,Stressed
0.812537,Stressed
0.781286,Stressed
0.796911,Stressed
0.796911,Stressed
0.734409,Stressed
0.781286,Stressed
0.718783,Stressed
0.812537,Stressed
0.76566,Stressed
0.87504,Stressed
0.734409,Stressed
0.718783,Stressed
0.718783,Stressed
0.718783,Stressed
0.750034,Stressed
0.812537,Stressed
0.781286,Stressed
0.750034,Stressed
0.734409,Stressed
0.76566,Stressed
0.734409,Stressed
0.76566,Stressed
0.734409,Stressed
0.76566,Stressed
0.76566,Stressed
0.750034,Stressed
0.76566,Stressed
0.76566,Stressed
0.750034,Stressed
0.718783,Stressed
0.734409,Stressed
0.734409,Stressed
0.750034,Stressed
0.734409,Stressed
0.734409,Stressed
0.718783,Stressed
0.718783,Stressed
0.76566,Stressed
0.781286,Stressed
0.781286,Stressed
0.734409,Stressed
0.812537,Stressed
0.76566,Stressed
0.750034,Stressed
0.87504,Stressed
0.687531,Stressed
0.593777,Stressed
0.703157,Stressed
0.671906,Stressed
0.718783,Stressed
0.750034,Stressed
0.87504,Stressed
0.640654,Stressed
0.843789,Stressed
0.76566,Stressed
0.781286,Stressed
0.734409,Stressed
0.703157,Stressed
0.718783,Stressed
0.718783,Stressed
0.781286,Stressed
0.890666,Stressed
0.718783,Stressed
0.718783,Stressed
0.718783,Stressed
0.750034,Stressed
0.734409,Stressed
0.750034,Stressed
0.750034,Stressed
0.87504,Stressed
0.718783,Stressed
0.76566,Stressed
