Data,Label
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.93,Notstressed
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.97,Notstressed
32.95,Notstressed
32.95,Notstressed
32.95,Notstressed
